id,id_internal,employees,founding_year,indegree,outdegree,innoprob,sustainability_intensity,ai_intensity,3d_printing_intensity,lats,lons
0,0,,2018.0,0,0,0.588983,0.0,0.0932983389310483,0.0,49.38009455684407,9.563305593871858
1,0,30.0,1968.0,0,4,0.18637586,0.1697841178233489,0.0,0.0,47.62056445747614,9.162124702812108
2,0,,,0,1,0.64683807,0.0,0.1539758037414668,0.0,48.14848248912134,8.062396236601927
3,0,38.0,1998.0,0,0,0.13129961,0.39309967580706,0.0,0.0,49.795432350988605,8.073948430147356
4,0,28.0,1996.0,3,1,0.7534138,0.2233252004557642,0.0,0.0,47.52882005518921,9.0808528020159
5,0,,,16,1,0.32620716,0.0,0.0,0.0,49.902899912629955,8.281994992194498
6,0,1.0,2013.0,0,1,0.8161324,0.0,0.0,0.0,49.244050736556815,8.4683836571934
7,0,,,4,3,0.5752148,0.0,0.0,0.0,48.838121948067595,9.304107149106613
8,0,22.0,2008.0,0,0,0.059794426,0.0,0.0,0.0,49.696085777171135,9.853566815637755
9,0,1.0,1976.0,0,2,0.63310236,0.0,0.0,0.0,49.52280757797648,8.017010421134145
10,0,2.0,2019.0,4,4,0.20535165,0.0,0.0,0.0,48.01950462071467,8.943955798405383
11,0,1.0,2011.0,1,0,0.14789024,0.0,0.0,0.0,47.60218525193061,8.539701343909265
12,0,4.0,1992.0,0,0,0.27035677,0.0,0.0,0.0,49.70676177072562,9.533874168328435
13,0,,,0,0,,,,,49.19421971388794,9.023072460598309
14,0,,2009.0,0,0,0.19460317,0.0,0.0,0.0,47.93462486825382,9.84567824135874
15,0,75.0,1966.0,4,0,0.24606907,0.0,0.0,0.0,48.78779986660737,8.565160862843822
16,0,,,0,17,0.23497623,0.0,0.0,0.0,48.79787415114,9.720589250709745
17,0,,,0,0,0.07185218,0.0,0.0,0.0,47.70082912913254,7.835315016622277
18,0,7.0,1995.0,0,1,0.15872979,0.0,0.0,0.0,49.73117719683806,9.318198005211661
19,0,1.0,1985.0,0,0,0.27845022,0.0,0.0,0.0,48.55605660899802,8.399096003817188
20,0,,,0,2,0.109466076,0.0862990739188787,0.0,0.0,48.70641449288148,9.065899973910893
21,0,,,0,0,,,,,48.989668854494305,7.7158071532093775
22,0,1.0,2018.0,0,2,0.29119214,0.0,0.0,0.0,47.751683228944394,9.759478935276455
23,0,,,0,0,0.13426465,0.0,0.0,0.0,47.6929804306128,7.81641366406512
24,0,,2020.0,0,0,0.18071553,0.0,0.0,0.0,48.359423121770746,8.03724550649726
25,0,26.0,1936.0,0,0,0.30793062,0.0,0.0,0.0,49.97747866263818,9.69572119775151
26,0,,,0,0,0.09391317,0.0,0.0,0.0,48.84615850971063,8.645224239787096
27,0,2.0,2016.0,0,0,0.12417558,0.0,0.0,0.0,48.43206798017811,7.809905158976827
28,0,60.0,1990.0,1,0,0.8035378,0.1553603485159148,0.0,0.0,48.915481025267454,9.98771389754688
29,0,5.0,2021.0,0,0,0.30037475,1.481334891604569,0.0,0.0,47.97043084442989,9.479444416611335
30,0,1312.0,1880.0,4,3,0.29783526,0.2228514709065221,0.0,0.0,49.55630261882566,7.986827463139124
31,0,,,0,0,,,,,48.307159299753266,9.3808932096138
32,0,2.0,1997.0,0,0,0.23220089,1.4234768889127305,0.0,0.0,49.19862575282374,9.208549031872511
33,0,,2017.0,2,1,0.52247614,0.0,0.0,0.0,49.40588527790552,9.245168576356086
34,0,2.0,2009.0,0,0,0.1925439,0.0842204651117158,0.0,0.0,49.557470504448276,10.039289796771591
35,0,18.0,2009.0,0,3,0.12185189,0.0,0.0,0.0,48.794592778944676,9.054403137795546
36,0,31.0,2020.0,0,0,,,,,49.96300235359546,9.411720429411414
37,0,2.0,2019.0,0,0,0.34109184,0.0,0.0,0.0,49.2308421034898,8.62046954370847
38,0,2.0,2007.0,0,0,0.23019916,0.0,0.0,0.0,49.699734235163774,9.804194872222137
39,0,100.0,1994.0,1,2,0.24062085,0.0,0.0,0.0,48.03258659243682,9.450065594288741
40,0,,,1,0,0.24650258,0.0,0.0,0.0,47.909797263353404,8.460126149233728
41,0,11.0,2005.0,0,0,0.121264935,0.3323512029562724,0.0,0.0,48.86332941820001,8.573091400930855
42,0,,,0,0,0.20114926,0.0,0.0,0.0,48.703398746487416,8.180906245971316
43,0,1.0,2015.0,0,0,0.29267758,,,,49.88783668038851,7.700147372758378
44,0,31.0,1995.0,1,5,0.08536941,1.1513061323121492,0.0,0.0,49.52368086009018,9.324212320654249
45,0,,,1,0,0.09183672,0.0,0.0,0.0,48.75150409092895,7.896573440671558
46,0,,,0,0,0.66418463,1.5605075322687714,0.0,0.0,49.35492391184182,8.45323442360985
47,0,10.0,2015.0,1,0,0.69102716,0.0,0.0,0.0,47.64160391483818,10.213086195200084
48,0,25.0,1997.0,1,0,0.1122897,0.0,0.0,0.0,48.352912857964014,10.356908005752658
49,0,,,0,0,,,,,47.9452949245941,10.314317612475676
50,0,3.0,1989.0,3,3,0.12529105,0.0,0.0,0.0,49.39666213096654,8.091548692410573
51,0,2.0,2019.0,0,0,,,,,49.42485508253296,10.432650684554591
52,0,,,0,1,0.24586058,0.0,0.0,0.0,48.18482880674427,9.424917613197401
53,0,220.0,1970.0,4,2,0.22516897,0.3405184987533643,0.0,0.0,48.992152835720916,9.520750818309944
54,0,9.0,2019.0,0,7,0.7824685,0.0,0.0,0.0,49.821421274381755,8.086120178172155
55,0,,,0,0,0.3288719,0.3616421585321299,0.0,0.0,49.65080257194434,7.524670632213352
