ordering,reachability,predecessor_,core_distances
0,inf,-1,2.666377288274316
2,1.582368749902002,1135,2.470064746751399
37,2.666377288274316,0,3.591243034828868
43,1.423036715241718,4180,2.40067570442013
51,1.97273915543889,3815,3.011980965915643
67,2.104075842804344,5763,3.311490005116734
27,1.502402978598479,101,2.22111849290907
113,1.761237238094774,5279,2.650411028184082
38,0.812246328577625,5548,1.43451995237368
34,1.556320908749052,1791,2.40813196991803
136,1.929997070057192,1537,2.914082075453384
147,1.195059048028927,6607,1.413985417607984
13,0.356682383661426,5771,0.632140599117433
21,0.617799915366332,147,0.0
31,0.381922345030307,1822,0.582515474462464
49,1.693562889707422,1973,2.80340626013304
64,1.775400987266846,3489,2.921349067041118
145,0.522592119417621,3169,0.829489896549016
150,1.109604368650046,4745,1.228509815024046
164,0.746416757683347,3878,1.101758544078967
178,1.114002315410648,5055,1.387249043854248
201,0.0,13,0.0
225,1.220285243760713,7125,1.892295157661226
255,0.34473542953021,6054,0.593674753209384
298,0.858724542099405,854,1.246519064728872
304,1.154208641341023,4101,1.839082353677996
333,0.462887113443839,2259,0.73058474417857
335,0.870734607961544,67,1.005702401338653
338,1.883891953645448,3519,2.931408582724495
342,3.090034565167441,5482,4.924031862386427
354,3.071908733058111,4705,4.971105916842181
361,0.0,13,0.0
370,2.74737284425482,133,4.440355773122692
393,1.608433185530436,5721,2.281023871733226
402,0.714871156626184,38,0.877467193082587
403,1.257342949492699,2948,1.776053581339554
407,1.24130598061853,6861,1.994828238582832
414,2.666377288274316,0,1.117780252471685
437,0.747723700074486,113,0.714871156626184
472,1.711707392145488,5372,2.385351842878966
477,1.194806395070544,723,1.195990903823184
482,1.079682732421788,6606,1.885918682903279
487,0.156918654565924,6157,0.309822597697321
489,1.117780252471685,37,0.895197891387582
500,2.992489340732311,429,4.652335997669087
504,1.194806395070544,723,1.234855722825535
507,2.97476905132014,5779,4.827734274591086
517,1.415306165948072,6899,1.9995598455172
532,1.225340132647435,4002,1.573624654319964
535,0.0,13,0.0
540,1.422550392374616,765,2.067865770451975
561,0.895197891387582,43,0.984483207854908
569,1.109552929764618,162,1.111006273603983
613,2.268820831658483,5122,3.613384052878952
639,2.176782256097565,5387,3.593821190809804
658,1.069210726563809,4565,1.88715708554009
662,0.863697860553845,2924,1.232677479608389
674,1.109551181818712,615,1.120856330346869
682,2.086354324685658,4922,3.6010842044232
691,1.233245272823853,3135,1.966940515518618
697,0.613270270204019,376,0.917431472158728
703,1.506469675180742,5190,2.10424221233628
719,2.381300765876102,868,3.941883076405578
735,1.355721445877652,2892,1.94365884856781
736,0.0,13,0.0
771,1.682609839094383,1703,2.772424552377285
786,1.182251955251998,1669,1.66246489527116
791,0.895197891387582,43,0.870734607961544
820,0.82803971155399,2131,1.160649945934977
822,1.250821761644901,5385,1.559836523691824
825,0.349103593088298,6442,0.65902446937352
844,0.921895084910576,3428,1.331757408932148
848,0.830235241089571,6260,1.134690551537005
856,1.417526293999466,6353,1.935844798067306
885,0.027669015292576,2054,0.048978381858969
896,1.264072844768653,3934,1.998370950143964
897,1.194806395070544,723,1.204134257957351
901,2.921856663582996,4793,4.676469088112275
