x,y
-4.8939795,25.74681
20.246517,-10.759107
-3.6622493,26.10688
10.208883,22.106432
17.484173,12.647881
29.049988,3.5563574
5.114286,5.284441
26.457672,1.6489489
-3.908976,-14.025059
6.9631877,3.4959521
22.763166,-2.4575672
16.361372,-1.3898516
-19.812862,-7.8480067
-41.82371,7.3971663
-5.928793,-21.532934
26.188725,13.069016
26.578634,-13.766014
-35.563965,-15.105445
23.508226,-19.205017
-20.380325,-14.169001
26.30671,-17.80188
-38.73637,12.508299
14.874786,-22.113338
-36.714363,-13.371488
-0.7664762,-24.254156
-9.032739,-6.3708487
-36.236816,-15.0101385
-6.1976542,-25.778902
17.243628,15.279784
9.420762,27.56175
24.81848,9.39483
-37.015755,9.927644
10.457121,26.167538
12.652382,7.556683
-10.03462,-25.545597
15.81172,-14.592735
0.92360175,-16.09169
-1.9899157,-30.380894
-13.923494,-26.126665
23.792782,8.29996
27.869556,21.60494
8.775868,24.472326
-39.66188,-9.139649
-9.214716,-31.194292
12.609033,23.331812
30.637083,21.788116
11.785325,28.299694
2.321077,8.592406
27.47214,12.827852
-40.141117,11.587718
31.450233,-0.12973104
-2.8677535,-28.896585
27.176144,-19.171997
24.471745,9.218716
9.899069,5.722172
10.180989,27.132061
-12.486062,-7.330231
28.321068,-18.368143
-3.7452567,25.98573
-0.19335347,3.4618986
-34.41703,-15.964899
22.077972,4.8863783
29.20165,1.8817319
19.156229,-14.215025
-37.324715,8.873431
10.373555,21.524126
-4.941078,7.193827
-9.505381,-30.630993
-2.2501962,-24.524952
26.34825,-15.432127
-14.407705,14.033886
2.6101851,-24.326252
-2.3338149,-28.639599
26.371983,7.7893057
-40.618023,-4.8411336
8.063879,23.600569
26.338713,21.449457
10.682594,29.096031
-3.8849502,-23.760492
19.89672,-10.799783
-14.70173,11.864212
-40.490177,-5.6909738
25.014448,-16.03918
26.409595,-14.9191265
-16.77966,14.571873
29.75137,14.396246
-10.231855,-9.65128
29.950115,-2.9392521
18.710524,12.533789
-6.9381957,-8.846803
6.723783,16.786663
-0.038934223,-15.870423
-7.715351,-4.940973
31.747879,2.5047245
-12.13559,13.201475
-3.2516193,-28.727734
33.739017,3.4788115
-37.39136,-13.891766
-1.2980554,3.5177803
26.55326,-16.247854
24.119167,-17.656277
-3.2292423,9.17955
25.736992,-20.528534
24.015596,9.208409
-11.0740595,-7.321689
-10.529541,-6.0576944
30.110638,-10.609191
-35.566254,-15.115904
24.903221,-20.276001
8.446545,5.080674
13.8328085,9.987431
-5.7646494,12.365921
-7.5680437,7.781842
-8.593087,-29.735865
7.5175595,6.026354
-19.576172,-16.235632
-16.249723,-8.255511
-20.326962,14.207226
32.306965,20.07764
20.368048,8.571855
28.661554,4.10011
-3.1749475,26.856777
10.522734,30.35301
-4.5740886,13.171997
14.023413,25.033113
30.175562,-1.2764288
30.787064,19.780128
20.055355,1.2443868
32.081955,-4.890766
26.912426,17.98488
-12.012367,-8.777292
-1.5902315,4.9588284
24.295017,18.497824
9.774465,25.786781
-7.061265,11.13275
-5.005627,13.396238
-20.054176,-20.658949
-7.895315,-6.2407856
19.258102,17.449844
-26.11124,13.744081
-2.636533,-27.321602
28.46344,-10.594889
13.282341,6.314084
-9.341091,-7.0080905
-5.8073506,12.878418
-39.161716,7.541292
-27.717512,13.329847
-11.278538,-27.298798
-17.949505,-5.45168
-1.035688,9.425614
-38.836002,6.264192
-20.354063,15.053903
12.120959,28.932232
-32.999428,-12.974525
23.409235,3.7231498
26.690022,6.4461527
-19.61705,-23.736557
8.391781,27.178429
21.943428,18.960968
16.332811,-1.0057402
-36.058075,-14.154858
23.708044,-2.520044
-40.588543,-5.0683
30.136831,-12.456536
-39.502422,7.100496
-39.98898,-7.950122
-4.0876427,27.410345
8.208634,4.1394405
27.564068,-0.6081158
-11.205043,13.84949
-12.09628,-8.245708
-36.603867,-14.411119
-19.721249,-22.317892
26.343847,-15.007054
-7.372413,9.897238
14.938337,-22.068071
24.334866,7.325284
8.214427,4.1319942
-38.834465,6.2432284
27.115671,20.650694
-8.930766,-24.147995
7.5153027,4.927264
-10.572295,-21.971804
-0.8884956,-10.405979
-40.49598,-5.6620436
16.139671,-18.01345
-20.142698,14.250761
-39.49613,-8.722659
-2.9048147,-29.555002
13.865569,8.719665
-5.09373,-13.440683
12.900892,26.716745
-15.179224,-7.178046
-16.030212,-9.718796
-4.150984,-16.810373
-5.4841714,-26.83416
-21.348389,14.608384
-1.9785227,12.283809
23.743391,7.1547465
32.278305,7.8395305
25.59484,6.460593
-38.83617,6.2492085
15.215987,-14.304025
-36.598602,-14.6183605
1.7959945,-24.83374
7.991612,24.831419
-12.552605,-21.708996
14.332665,27.675566
13.171908,27.72144
-9.525081,-30.54874
30.51919,-4.926714
-13.397118,-28.63633
12.370548,26.486767
21.725344,-2.2190824
19.996616,-12.400444
-18.99481,-22.181341
0.83569646,-27.578943
23.133375,3.8812895
10.519325,24.980644
10.045866,26.638319
30.07068,8.870991
-37.867405,-12.8938055
25.825619,13.697368
21.05591,-16.076609
-4.8444176,25.955973
-38.847466,6.7418103
10.718524,23.52678
-13.385926,-22.43857
28.60264,-18.170517
-14.772241,-27.38877
13.47266,30.155914
30.062256,-12.371133
23.325872,-13.36001
27.611841,23.493233
-8.235751,-26.903755
11.444801,25.898338
-1.3314588,-21.87624
27.321177,-20.455032
28.647148,1.1473541
15.168156,-0.9380397
29.344576,3.7043786
-6.943727,7.872708
-2.7596345,-23.733685
-16.565762,-7.8876452
25.882318,-19.819582
-6.3695426,-21.86479
3.5161738,-22.721659
-11.702262,-10.427404
25.834915,19.035131
31.094957,1.5687811
24.650637,-21.001945
17.880957,-12.223336
-3.4965622,26.256487
-20.021126,-11.4342785
-7.2569757,-18.405638
-38.80227,6.737422
-2.5235436,-21.027084
-5.781602,-29.739573
-2.0473318,-21.541042
28.551281,14.931174
-37.05897,-13.02731
-8.171969,-24.754734
26.598763,-14.581364
10.023462,22.639864
24.474886,20.959408
-35.56663,-15.126684
-5.529874,-10.906308
-38.986942,-6.8374825
-36.62202,-13.501982
0.16319484,-19.180576
30.661112,-2.5050712
-10.80653,-7.3273463
28.570263,-0.5289087
22.610035,4.090786
10.14854,22.479647
-7.261634,13.026058
-2.99979,26.080503
-21.2296,-19.109179
-36.84367,-14.499731
20.0922,-15.21514
9.592203,21.689383
23.455587,5.161434
-13.331137,-27.529856
12.449962,18.16691
-5.251473,26.915123
16.135456,-0.76056963
12.213624,-21.043402
18.039423,-19.712887
23.05759,1.7684656
-40.54317,-5.382872
21.84669,6.8361254
17.319952,3.4688666
29.31584,0.6626449
-16.575708,-8.402445
-2.0706124,2.6159146
6.4781537,2.528391
30.836077,16.738848
13.858219,-17.911858
-36.765995,7.231186
12.248616,4.6310654
29.400276,-4.2136807
31.248005,6.907904
-6.533461,-26.981176
-21.35452,-19.27404
-36.923927,6.894407
16.871813,1.1527232
-21.268154,-19.132378
6.1096067,15.306055
24.872177,-3.0470746
27.02982,14.916393
28.271585,21.014582
-2.4735928,25.144787
25.166666,-20.768742
-20.326963,14.207223
2.675298,-24.40946
13.617322,-20.337362
10.098255,25.268467
-7.1974897,-23.848043
-18.000378,14.648142
-8.723369,-25.936596
-4.3346863,26.25942
26.314978,7.0589123
-3.6721792,-26.820822
-37.37122,-13.919906
19.319012,14.931236
18.504765,2.9792924
9.846015,28.295305
-1.1006635,7.713699
-1.6372567,5.3759365
-16.785898,-25.182129
28.98228,-17.762325
13.4533205,20.570526
2.9107137,-23.566721
-36.724934,7.4268146
-8.767736,13.908377
-36.738228,7.464116
1.3134313,-21.731659
